Business Name,Category,Rating,Reviews,Phone,Email,Website,Address,City,State,Country,Postal Code,Opening Hours,Google Maps URL,Scraped At
Thanigai Estates & Constructions Pvt Ltd,Real estate developer,4.9,2033.0,+91 91590 91591,"info@thanigaiestates.com, Info@thanigaiestates.com",http://www.thanigaiestates.com/,"No.69, New No.50, Old, Patel Rd, Perambur, Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,"Monday: 9 AM to 9 PM, Tuesday: Closed, Wednesday: 9 AM to 9 PM, Thursday: 9 AM to 9 PM, Friday: 9 AM to 9 PM, Saturday: 9 AM to 9 PM, Sunday: 9 AM to 9 PM",https://www.google.com/maps/search/?api=1&query=Thanigai%20Estates%20%26%20Constructions%20Pvt%20Ltd&query_place_id=ChIJea0UA_NlUjoRwGHOXLjvSLw,2026-07-09T14:52:44.728Z
Om Estates,Construction company,,,,,,"3rd Floor, No. 37, Mount Road, Anna Salai, Triplicane, Chennai, Greater Chennai, Tamil Nadu 600002, India","Chennai, Greater Chennai",Tamil Nadu,IN,600002,,https://www.google.com/maps/search/?api=1&query=Om%20Estates&query_place_id=ChIJPwSV9NVnUjoRZq4a2IGDTQM,2026-07-09T14:52:54.246Z
Namma veedu Housing & Real Estate Company-Estate Agents in Perambur,Industrial real estate agency,5.0,3.0,+91 70107 87117,"nammaveeduhousing@gmail.com, nammaveeduaadil@gmail.com, g5plus@outlook.com",https://homesandland.in/,"Masjid-E-Azam, Pulianthope High Road, Pattalam, Choolai, Chennai, Greater Chennai, Tamil Nadu 600012, India","Chennai, Greater Chennai",Tamil Nadu,IN,600012,"Monday: 10 AM to 8 PM, Tuesday: 10 AM to 8 PM, Wednesday: 10 AM to 8 PM, Thursday: 10 AM to 8 PM, Friday: 10 AM to 8 PM, Saturday: 10 AM to 8 PM, Sunday: 10 AM to 2 PM",https://www.google.com/maps/search/?api=1&query=Namma%20veedu%20Housing%20%26%20Real%20Estate%20Company-Estate%20Agents%20in%20Perambur&query_place_id=ChIJ53TX5yxlUjoRm5cItKusGZs,2026-07-09T14:52:48.865Z
SP Dharsan Real Estate Agents,Commercial real estate agency,4.5,8.0,+91 72995 44542,,,"Shop No :1 , Door no : 102 , pycrofts road,Real Regency complex,Royapettah, ch 14, Chennai, Tamil Nadu 600014, India","Chennai, Greater Chennai",Tamil Nadu,IN,600014,"Monday: 9 AM to 8 PM, Tuesday: 9 AM to 8 PM, Wednesday: 9 AM to 8 PM, Thursday: 9 AM to 8 PM, Friday: 9 AM to 8 PM, Saturday: 9 AM to 8 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=SP%20Dharsan%20Real%20Estate%20Agents&query_place_id=ChIJR6a1fCJmUjoRszMgV84ds1A,2026-07-09T14:52:55.662Z
VMV Estates & Construction,Construction company,,,,,https://youtube.com/@vmvproperties?si=EmZqi3Dfxhw1Gh_z,"Patel Rd, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,"Monday: 9 AM to 6 PM, Tuesday: Closed, Wednesday: 9 AM to 6 PM, Thursday: 9 AM to 6 PM, Friday: 9 AM to 6 PM, Saturday: 9 AM to 6 PM, Sunday: 9 AM to 6 PM",https://www.google.com/maps/search/?api=1&query=VMV%20Estates%20%26%20Construction&query_place_id=ChIJsbpvvpZlUjoRrX5wvSzqaoA,2026-07-09T14:52:56.872Z
Swarna Homes,Real estate developer,,,,,,"Venus Market, 85/38, Market St, near Indian Bank, opposite IN, Amrithammal Colony, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,,https://www.google.com/maps/search/?api=1&query=Swarna%20Homes&query_place_id=ChIJmVPryLNlUjoRuv7EXoeHE6Y,2026-07-09T14:52:58.004Z
Infinity property,Construction company,,,+91 98409 58383,Infinitypropertymk@gmail.com,https://infinityproperty.in/,"""Anjuman shopping complex"" , 846, 2nd Floor , shop no:9 , Anna salai , near khadi gramodyog, Chennai, Tamilnadu : 600002, Tamil Nadu 600002, India","Greater Chennai, Chennai",Tamil Nadu,IN,600002,"Monday: 10 AM to 6:30 PM, Tuesday: 10 AM to 6:30 PM, Wednesday: 10 AM to 6:30 PM, Thursday: 10 AM to 6:30 PM, Friday: 10 AM to 6:30 PM, Saturday: 10 AM to 6:30 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=Infinity%20property&query_place_id=ChIJWXdLZ0RnUjoRdatT1nIAAuU,2026-07-09T14:52:55.673Z
J J Land Promoter Pvt Ltd,Real estate agency,5.0,1.0,,,,"1st Floor, 20, Saraswathi Square St, near Anandha Bhavan, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,,https://www.google.com/maps/search/?api=1&query=J%20J%20Land%20Promoter%20Pvt%20Ltd&query_place_id=ChIJwVaSCrllUjoRAgRxpljfsaw,2026-07-09T14:52:59.067Z
J J Ressurected Real Estate,Real estate agency,,,,,,"12/1, New No 31, Old, Bunder Garden Main St, near Lourdes School, Bunder Garden, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,,https://www.google.com/maps/search/?api=1&query=J%20J%20Ressurected%20Real%20Estate&query_place_id=ChIJCW0KlLBlUjoR33O0psSWMu0,2026-07-09T14:52:59.815Z
Vaishnavi Enterprises,Real estate agency,,,+91 93825 94659,,,"Thamarai Medical, 61/1, Patel Rd, near BRINDA TEXTILES, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,,https://www.google.com/maps/search/?api=1&query=Vaishnavi%20Enterprises&query_place_id=ChIJl6wni7llUjoRsTRNshSyb_w,2026-07-09T14:53:00.119Z
Chennai Real Estate,Office space rental agency,,,,,,"Srinivasa Perumal Sanadi, 2nd St, Ganapathy Colony, Royapettah, Chennai, Greater Chennai, Tamil Nadu 600014, India","Chennai, Greater Chennai",Tamil Nadu,IN,600014,,https://www.google.com/maps/search/?api=1&query=Chennai%20Real%20Estate&query_place_id=ChIJ5fhoz-FnUjoRneRZFhMABAE,2026-07-09T14:53:01.736Z
Haridra - Appaswamy Real Estates Ltd,Apartment building,4.3,12.0,,,,"Royapettah High Rd, Mylapore, Chennai, Greater Chennai, Tamil Nadu 600004, India","Chennai, Greater Chennai",Tamil Nadu,IN,600004,,https://www.google.com/maps/search/?api=1&query=Haridra%20-%20Appaswamy%20Real%20Estates%20Ltd&query_place_id=ChIJqe4mWrNnUjoReuuNoneYZ1k,2026-07-09T14:53:02.353Z
STEEPLE REACH,Office space rental agency,4.1,21.0,,,,"25, Cathedral Rd, Kasturi Estate, Gopalapuram, Chennai, Greater Chennai, Tamil Nadu 600086, India","Chennai, Greater Chennai",Tamil Nadu,IN,600086,,https://www.google.com/maps/search/?api=1&query=STEEPLE%20REACH&query_place_id=ChIJqz67qt1nUjoRG6vEAJvrZUk,2026-07-09T14:53:03.557Z
Paramount Realty - Mylapore Branch,Real estate developer,4.0,1.0,,,,"111, Dr Radha Krishnan Salai, opposite new woodlands hotel, Kattukoil Garden, Mylapore, Chennai, Greater Chennai, Tamil Nadu 600004, India","Chennai, Greater Chennai",Tamil Nadu,IN,600004,,https://www.google.com/maps/search/?api=1&query=Paramount%20Realty%20-%20Mylapore%20Branch&query_place_id=ChIJfyQCRTpnUjoRw6GQuaz690U,2026-07-09T14:53:03.768Z
Apollo Global Realty AGR,Real estate consultant,5.0,1.0,,,,"63/29, Poes Garden, Teynampet, Chennai, Greater Chennai, Tamil Nadu 600086, India","Chennai, Greater Chennai",Tamil Nadu,IN,600086,,https://www.google.com/maps/search/?api=1&query=Apollo%20Global%20Realty%20AGR&query_place_id=ChIJswgXPQBnUjoRuyZO27w2Eao,2026-07-09T14:53:04.876Z
Anand Real Estate,Real estate agency,,,+91 98410 73168,,,"No 11/6, TTK Rd, near by Music Academy, Pudupet, Royapettah, Chennai, Greater Chennai, Tamil Nadu 600086, India","Chennai, Greater Chennai",Tamil Nadu,IN,600086,,https://www.google.com/maps/search/?api=1&query=Anand%20Real%20Estate&query_place_id=ChIJh-7yCjpmUjoR7T485Gg--Xs,2026-07-09T14:53:05.007Z
CSK@HANU REDDY REALTY,Real estate agent,5.0,1.0,,,,"Bishop Wallers S Ave, CIT Colony, Mylapore, Chennai, Greater Chennai, Tamil Nadu 600004, India","Chennai, Greater Chennai",Tamil Nadu,IN,600004,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",https://www.google.com/maps/search/?api=1&query=CSK%40HANU%20REDDY%20REALTY&query_place_id=ChIJkVgdDXFnUjoRe0aQQZNY4vs,2026-07-09T14:53:06.306Z
Prabha real estate,Apartment complex,,,,,,"5/41, Manicka Vinayagar Koil St, Madhavaram, Ramana Nagar, Vyasarpadi, Chennai, Greater Chennai, Tamil Nadu 600039, India","Chennai, Greater Chennai",Tamil Nadu,IN,600039,,https://www.google.com/maps/search/?api=1&query=Prabha%20real%20estate&query_place_id=ChIJ783QUABlUjoRVQiCIyhK9_o,2026-07-09T14:53:07.927Z
Chennai Housing Property,Construction company,,,,,,"6-48, Neelam Garden, Siruvallur, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,"Monday: 9:30 AM to 6 PM, Tuesday: 9:30 AM to 6 PM, Wednesday: 9:30 AM to 6 PM, Thursday: 9:30 AM to 6 PM, Friday: 9:30 AM to 6 PM, Saturday: 9:30 AM to 6 PM, Sunday: 9:30 AM to 6 PM",https://www.google.com/maps/search/?api=1&query=Chennai%20Housing%20Property&query_place_id=ChIJb8Lz941lUjoRagajvOKlZLM,2026-07-09T14:53:07.754Z
Paalaar Urban Farms,Real estate developer,4.8,169.0,+91 89397 73300,hello@paalaarurbanfarms.com,https://paalaarurbanfarms.com/,"16 A, Poes Garden, Gopalapuram, Chennai, Greater Chennai, Tamil Nadu 600086, India","Chennai, Greater Chennai",Tamil Nadu,IN,600086,,https://www.google.com/maps/search/?api=1&query=Paalaar%20Urban%20Farms&query_place_id=ChIJGRYuozJnUjoR-yGVrCT7jdI,2026-07-09T14:53:00.365Z
Tamilnadu Plots,Construction company,4.9,22.0,+91 79041 30500,,,"Patel Rd, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,"Monday: 9:30 AM to 8 PM, Tuesday: 9:30 AM to 8 PM, Wednesday: 9:30 AM to 8 PM, Thursday: 9:30 AM to 8 PM, Friday: 9:30 AM to 8 PM, Saturday: 9:30 AM to 8 PM, Sunday: 9:30 AM to 8 PM",https://www.google.com/maps/search/?api=1&query=Tamilnadu%20Plots&query_place_id=ChIJ7xIqw51lUjoR2eJuahEbIFI,2026-07-09T14:53:09.791Z
SA Agencies,Real estate consultant,4.5,2.0,,,,"State bank Co, Madurai Samy Madam St, SBI Colony, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India",,,,,,https://www.google.com/maps/search/?api=1&query=SA%20Agencies&query_place_id=ChIJczzfUkNlUjoRZYzub_GRYxI,2026-07-09T14:53:09.972Z
Thiruthanigai Real Estate,Real estate agency,3.3,3.0,+91 93801 02856,websupport@luxre.com,https://tiruthanighairealestates.com/,"65, Kumaraswamy Street, Vyasarpadi, 39, Kumaraswamy St, Sector 15, Perambur, Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,"Monday: 10 AM to 9 PM, Tuesday: 10 AM to 9 PM, Wednesday: 10 AM to 9 PM, Thursday: 10 AM to 9 PM, Friday: 10 AM to 9 PM, Saturday: 10 AM to 9 PM, Sunday: 10 AM to 9 PM",https://www.google.com/maps/search/?api=1&query=Thiruthanigai%20Real%20Estate&query_place_id=ChIJw_O9fb5lUjoRjQV7JjYZYF8,2026-07-09T14:52:51.004Z
LIMRA REALTORS,Construction company,4.9,8.0,+91 90250 35796,,,"18/2, Labbai St, Pudupet, Anna Salai, Egmore, Chennai, Greater Chennai, Tamil Nadu 600002, India","Chennai, Greater Chennai",Tamil Nadu,IN,600002,"Monday: 10 AM to 10 PM, Tuesday: Closed, Wednesday: 10 AM to 10 PM, Thursday: 10 AM to 10 PM, Friday: 10 AM to 10 PM, Saturday: 10 AM to 10 PM, Sunday: 10 AM to 10 PM",https://www.google.com/maps/search/?api=1&query=LIMRA%20REALTORS&query_place_id=ChIJB2ApJh9nUjoRlw6XtntlCws,2026-07-09T14:53:11.548Z
"G Square Housing - Head Office, Chennai",Land allotment,4.2,545.0,+91 89395 40008,,https://www.gsquarehousing.com/,"75, TTK Rd, CIT Colony, Alwarpet, Chennai, Greater Chennai, Tamil Nadu 600018, India","Chennai, Greater Chennai",Tamil Nadu,IN,600018,"Monday: 9 AM to 7 PM, Tuesday: 9 AM to 7 PM, Wednesday: 9 AM to 7 PM, Thursday: 9 AM to 7 PM, Friday: 9 AM to 7 PM, Saturday: 9 AM to 7 PM, Sunday: 9 AM to 7 PM",https://www.google.com/maps/search/?api=1&query=G%20Square%20Housing%20-%20Head%20Office%2C%20Chennai&query_place_id=ChIJMx4GUnpmUjoRzEVJtBvfeeI,2026-07-09T14:53:05.460Z
Vaclav Builders - Civil Contractor,Construction company,5.0,14.0,+91 98407 73922,,http://vaclavbuilders.com/,"Hyder Garden 3rd St, Shanthi Nagar, Wadia Nagar, Jamalia, Chennai, Greater Chennai, Tamil Nadu 600012, India","Chennai, Greater Chennai",Tamil Nadu,IN,600012,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",https://www.google.com/maps/search/?api=1&query=Vaclav%20Builders%20-%20Civil%20Contractor&query_place_id=ChIJbW1hr8BlUjoRwTnd7Axn_b4,2026-07-09T14:52:31.526Z
Arun & Harish,Real estate agency,3.0,2.0,+91 44 2535 3651,,,"42, 44, Sami Pillai St, Periyamedu, Choolai, Chennai, Greater Chennai, Tamil Nadu 600007, India","Chennai, Greater Chennai",Tamil Nadu,IN,600007,"Monday: 9 AM to 6 PM, Tuesday: 9 AM to 6 PM, Wednesday: 9 AM to 6 PM, Thursday: 9 AM to 6 PM, Friday: 9 AM to 6 PM, Saturday: 9 AM to 6 PM, Sunday: 9 AM to 5 PM",https://www.google.com/maps/search/?api=1&query=Arun%20%26%20Harish&query_place_id=ChIJVVVVhf1lUjoR9VCrbNpSdZI,2026-07-09T14:53:13.976Z
HUNTER PROPERTY AND CONSTRUCTION PVT LTD,Construction company,5.0,167.0,+91 75501 10784,,http://www.hunterproperty.in/,"12, Mohammadan Street, Sembiyan, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,"Monday: 9 AM to 9 PM, Tuesday: 9 AM to 9 PM, Wednesday: 9 AM to 9 PM, Thursday: 9 AM to 9 PM, Friday: 9 AM to 9 PM, Saturday: 9 AM to 9 PM, Sunday: 9 AM to 9 PM",https://www.google.com/maps/search/?api=1&query=HUNTER%20PROPERTY%20AND%20CONSTRUCTION%20PVT%20LTD&query_place_id=ChIJZWXTyiRlUjoRcltHPlnwCok,2026-07-09T14:53:11.049Z
CITY REALTORS,Corporate office,5.0,4.0,+91 99410 65550,,,"Office No 9, Ground Floor, 42, Red Cross Rd, Egmore, Chennai, Greater Chennai, Tamil Nadu 600008, India","Chennai, Greater Chennai",Tamil Nadu,IN,600008,"Monday: 8 AM to 10 PM, Tuesday: 8 AM to 10 PM, Wednesday: 8 AM to 10 PM, Thursday: 8 AM to 10 PM, Friday: 8 AM to 10 PM, Saturday: 8 AM to 10 PM, Sunday: 8 AM to 10 PM",https://www.google.com/maps/search/?api=1&query=CITY%20REALTORS&query_place_id=ChIJ3VoD0xNmUjoRLYO62AfR3hQ,2026-07-09T14:53:15.284Z
Hanu Reddy Realty India Pvt Ltd,Real estate agent,4.7,481.0,+91 98402 68962,"hrrchennai@hanureddyrealty.com, sureshreddy@hanureddyrealty.com, shivareddy@hanureddyrealty.com, nhs@hanureddyrealty.com, rgschennai@hanureddyrealty.com, westchennai@hanureddyrealty.com, wallacegarden@hanureddyrealty.com, adyar@hanureddyrealty.com, hrrbgl@hanureddyrealty.com, hrrhyd@hanureddyrealty.com, hrrpune@hanureddyrealty.com, hrrcbe@hanureddyrealty.com, hrrmysore@hanureddyrealty.com, hrrvizag@hanureddyrealty.com, gmt@hanureddyrealty.com, northchennai@hanureddyrealty.com, info@hanureddyrealty.com, hr@hanureddyrealty.com, nmk@hanureddyrealty.com, kmr@hanureddyrealty.com, sivakumar@hanureddyrealty.com, palani@hanureddyrealty.com, kumaran@hanureddyrealty.com, mukkunth@hanureddyrealty.com, shiva@hanureddyrealty.com, mirza@hanureddyrealty.com",https://hanureddyrealty.com/,"18, Bishop Wallers Ave E, CIT Colony, Mylapore, Chennai, Greater Chennai, Tamil Nadu 600004, India","Chennai, Greater Chennai",Tamil Nadu,IN,600004,"Monday: 9:30 AM to 6:30 PM, Tuesday: 9:30 AM to 6:30 PM, Wednesday: 9:30 AM to 6:30 PM, Thursday: 9:30 AM to 6:30 PM, Friday: 9:30 AM to 6:30 PM, Saturday: 9:30 AM to 6:30 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=Hanu%20Reddy%20Realty%20India%20Pvt%20Ltd&query_place_id=ChIJbWiUPM9nUjoRJbqNNUJJWKo,2026-07-09T14:53:06.494Z
Pincoded Real Estate Services,Real estate agency,4.8,5.0,+91 98849 97500,vikas@pincoded.com,http://www.pincoded.com/,"511, Shivalaya Building, 171, Ethiraj Salai, above Sangeetha hotel, Egmore, Chennai, Greater Chennai, Tamil Nadu 600008, India","Chennai, Greater Chennai",Tamil Nadu,IN,600008,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",https://www.google.com/maps/search/?api=1&query=Pincoded%20Real%20Estate%20Services&query_place_id=ChIJs8E2UI1nUjoRxk5wSwe27Bg,2026-07-09T14:53:13.716Z
Shree Realty,Real estate consultant,5.0,136.0,,,,"Office no. 4, Wellingdon Estate, 3rd floor, 53, Ethiraj Salai, Egmore, Chennai, Tamil Nadu 600008, India","Chennai, Greater Chennai",Tamil Nadu,IN,600008,"Monday: 9:30 AM to 6:30 PM, Tuesday: 9:30 AM to 6:30 PM, Wednesday: 9:30 AM to 6:30 PM, Thursday: 9:30 AM to 6:30 PM, Friday: 9:30 AM to 6:30 PM, Saturday: 9:30 AM to 6:30 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=Shree%20Realty&query_place_id=ChIJxcT54jpnUjoRtGW49le6T5A,2026-07-09T14:53:24.319Z
My Property Boutique Private Limited Real Estate,Real estate agency,4.8,118.0,+91 98846 40673,"nb@mypropertyboutique.com, info@mypropertyboutique.com",http://www.mypropertyboutique.com/,"S -38 phase, Spencer Plaza Mall, 2, 2nd St, Anna Salai, Royapettah, Chennai, Greater Chennai, Tamil Nadu 600002, India","Chennai, Greater Chennai",Tamil Nadu,IN,600002,"Monday: 10 AM to 6 PM, Tuesday: 10 AM to 6 PM, Wednesday: 10 AM to 6 PM, Thursday: 10 AM to 6 PM, Friday: 10 AM to 6 PM, Saturday: 10 AM to 6 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=My%20Property%20Boutique%20Private%20Limited%20Real%20Estate&query_place_id=ChIJjQhWYhZmUjoRO3EoyFi3miE,2026-07-09T14:53:18.961Z
SDC Real Estates,Real estate agency,,,,,,"33/1, Wallahjah Rd, Chepauk, Triplicane, Chennai, Greater Chennai, Tamil Nadu 600002, India","Chennai, Greater Chennai",Tamil Nadu,IN,600002,,https://www.google.com/maps/search/?api=1&query=SDC%20Real%20Estates&query_place_id=ChIJZ4hOfgBnUjoRTwfJrcHIFIU,2026-07-09T14:53:28.167Z
Association of Professional Property Consultants of Chennai,Corporate office,4.6,14.0,+91 99419 45554,,http://appcc.in/,"#721, Anna Salai, Mount Road, Triplicane, Chennai, Greater Chennai, Tamil Nadu 600002, India","Chennai, Greater Chennai",Tamil Nadu,IN,600002,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",https://www.google.com/maps/search/?api=1&query=Association%20of%20Professional%20Property%20Consultants%20of%20Chennai&query_place_id=ChIJe4tagRxmUjoR9QL7jwNWC0o,2026-07-09T14:53:18.815Z
Sri Saraswathi Real Estate,Real estate agency,5.0,1.0,,,,"24, Guruvappa St, Chintadripet, Chennai, Greater Chennai, Tamil Nadu 600002, India","Chennai, Greater Chennai",Tamil Nadu,IN,600002,,https://www.google.com/maps/search/?api=1&query=Sri%20Saraswathi%20Real%20Estate&query_place_id=ChIJUVXPjwRmUjoRPWjKNGalrvc,2026-07-09T14:53:31.890Z
RoofandFloor,Real estate agency,3.3,36.0,+91 44 4011 4426,info@roofandfloor.com,https://roofandfloor.thehindu.com/,"First Floor, No 859, 860, RoofandFloor-KSL Digital Ventures Ltd Kasturi Sons Building, Anna Salai, Chennai, Tamil Nadu 600002, India","Chennai, Greater Chennai",Tamil Nadu,IN,600002,"Monday: 9:30 AM to 6:30 PM, Tuesday: 9:30 AM to 6:30 PM, Wednesday: 9:30 AM to 6:30 PM, Thursday: 9:30 AM to 6:30 PM, Friday: 9:30 AM to 6:30 PM, Saturday: Closed, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=RoofandFloor&query_place_id=ChIJLwTSMgNmUjoR5WSHDZPzObA,2026-07-09T14:53:22.949Z
Mehta Real Estate,Real estate consultant,4.2,24.0,,info@mehtarealestate.com,http://www.mehtarealestate.com/,"Office- C, 3rd Floor, TOWER-3, Shakti Towers, 766, Anna Salai, Chennai, Greater Chennai, Tamil Nadu 600002, India","Chennai, Greater Chennai",Tamil Nadu,IN,600002,"Monday: 10 AM to 6 PM, Tuesday: 10 AM to 6 PM, Wednesday: 10 AM to 6 PM, Thursday: 10 AM to 6 PM, Friday: 10 AM to 6 PM, Saturday: 10 AM to 6 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=Mehta%20Real%20Estate&query_place_id=ChIJPzkbSuFlUjoRp4fCIB9Z20k,2026-07-09T14:53:18.132Z
Home Konnect® - CRISIL Rated & RERA Registered Real Estate Consultants Award Winning Top Rated Real Estate Agency,Real estate agency,4.9,963.0,+91 99403 66555,,https://www.homekonnect.com/,"No. 5B, 5th Floor, Doshi Towers Old No. 156, New No. 205, Poonamallee High Rd, Kilpauk, Chennai, Tamil Nadu 600010, India","Chennai, Greater Chennai",Tamil Nadu,IN,600010,"Monday: 7 AM to 11 PM, Tuesday: 7 AM to 11 PM, Wednesday: 7 AM to 11 PM, Thursday: 7 AM to 11 PM, Friday: 7 AM to 11 PM, Saturday: 7 AM to 11 PM, Sunday: 7 AM to 11 PM",https://www.google.com/maps/search/?api=1&query=Home%20Konnect%C2%AE%20-%20CRISIL%20Rated%20%26%20RERA%20Registered%20Real%20Estate%20Consultants%20Award%20Winning%20Top%20Rated%20Real%20Estate%20Agency&query_place_id=ChIJF26sJ9VlUjoRl3j-A1fUgMc,2026-07-09T14:53:18.103Z
SAN Global,Real estate consultant,4.6,9.0,+91 95660 96640,admin@sanglobal.co.in,http://sanglobal.co.in/,"10, State Bank St, Anna Salai, Triplicane, Chennai, Greater Chennai, Tamil Nadu 600002, India","Chennai, Greater Chennai",Tamil Nadu,IN,600002,"Monday: 9:30 AM to 7:30 PM, Tuesday: 9:30 AM to 7:30 PM, Wednesday: 9:30 AM to 7:30 PM, Thursday: 9:30 AM to 7:30 PM, Friday: 9:30 AM to 7:30 PM, Saturday: 9:30 AM to 7:30 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=SAN%20Global&query_place_id=ChIJUYNS2xlmUjoRzybLRHYYjWo,2026-07-09T14:52:54.850Z
Thanigai Estates Meeting Hall,Real estate agency,4.9,13.0,,"info@thanigaiestates.com, Info@thanigaiestates.com",http://www.thanigaiestates.com/,"168, Patel Rd, Perambur, Chennai, Greater Chennai, Tamil Nadu 600011, India","Chennai, Greater Chennai",Tamil Nadu,IN,600011,,https://www.google.com/maps/search/?api=1&query=Thanigai%20Estates%20Meeting%20Hall&query_place_id=ChIJk5bLbQplUjoRQTmo6Gp2p88,2026-07-09T14:53:11.516Z
Connection Point,Real estate agency,4.9,343.0,+91 98840 41884,info@connectionpoint.in,https://www.connectionpoint.in/,"1st Floor, 42, Red Cross Rd, Egmore, Chennai, Greater Chennai, Tamil Nadu 600008, India","Chennai, Greater Chennai",Tamil Nadu,IN,600008,"Monday: 9 AM to 9 PM, Tuesday: 9 AM to 9 PM, Wednesday: 9 AM to 9 PM, Thursday: 9 AM to 9 PM, Friday: 9 AM to 9 PM, Saturday: 9 AM to 9 PM, Sunday: 10 AM to 7 PM",https://www.google.com/maps/search/?api=1&query=Connection%20Point&query_place_id=ChIJm7IkzRNmUjoR-gEbjLaMAkI,2026-07-09T14:53:19.341Z
Star Property Developers,Real estate agency,4.0,9.0,+91 44 2849 1750,"admin@starpropertydevelopers.com, spd.raju@gmail.com",https://www.starpropertydevelopers.com/,"F44, 1st Floor, 1st Phase, Spencer Plaza, 769, Anna Salai, Mount Road, Anna Salai, Chennai, Greater Chennai, Tamil Nadu 600002, India","Chennai, Greater Chennai",Tamil Nadu,IN,600002,,https://www.google.com/maps/search/?api=1&query=Star%20Property%20Developers&query_place_id=ChIJUfjHgxtmUjoR7ZGwRI-_HRc,2026-07-09T14:53:32.491Z
Brick Spot,Industrial real estate agency,,,,,https://gsriram.in/,"116, Periamet, Park Town, Chennai, Greater Chennai, Tamil Nadu 600003, India","Chennai, Greater Chennai",Tamil Nadu,IN,600003,,https://www.google.com/maps/search/?api=1&query=Brick%20Spot&query_place_id=ChIJFRItodJlUjoRI7LZO241E4w,2026-07-09T14:53:14.675Z
REAL ESTATE ENTREPRENEUR,Real estate consultant,,,+91 96000 81501,,https://www.royalpropertydevelopers.com/,"NEW 5, Big St, Chepauk, Triplicane, Chennai, Greater Chennai, Tamil Nadu 600005, India","Chennai, Greater Chennai",Tamil Nadu,IN,600005,"Monday: 9 AM to 8 PM, Tuesday: 9 AM to 8 PM, Wednesday: 9 AM to 8 PM, Thursday: 9 AM to 8 PM, Friday: 9 AM to 8 PM, Saturday: 9 AM to 8 PM, Sunday: 9 AM to 8 PM",https://www.google.com/maps/search/?api=1&query=REAL%20ESTATE%20ENTREPRENEUR&query_place_id=ChIJdTMYu8pnUjoRgz_sr7EYwzk,2026-07-09T14:53:14.219Z
Amara,Construction company,4.9,12.0,+91 94446 66677,life@amarahomes.in,http://www.amarahomes.in/,"Ground, 148, Dr Radha Krishnan Salai, Mylapore, Chennai, Greater Chennai, Tamil Nadu 600004, India","Chennai, Greater Chennai",Tamil Nadu,IN,600004,"Monday: 9 AM to 7 PM, Tuesday: 9 AM to 7 PM, Wednesday: 9 AM to 7 PM, Thursday: 9 AM to 7 PM, Friday: 9 AM to 7 PM, Saturday: 9 AM to 7 PM, Sunday: 9 AM to 7 PM",https://www.google.com/maps/search/?api=1&query=Amara&query_place_id=ChIJmeA_tj1nUjoRVQBEF6gFx6Y,2026-07-09T14:52:59.090Z
